State  Recv-Q Send-Q  Local Address:Port  Peer Address:PortProcess                                               
LISTEN 0      4096             [::]:10104         [::]:*    users:(("docker-proxy",pid=878741,fd=4))             
LISTEN 0      4096             [::]:10100         [::]:*    users:(("docker-proxy",pid=878872,fd=4))             
LISTEN 0      4096             [::]:10101         [::]:*    users:(("docker-proxy",pid=878041,fd=4))             
LISTEN 0      4096             [::]:10102         [::]:*    users:(("docker-proxy",pid=878062,fd=4))             
LISTEN 0      4096             [::]:10103         [::]:*    users:(("docker-proxy",pid=877835,fd=4))             
LISTEN 0      4096             [::]:10212         [::]:*    users:(("docker-proxy",pid=877626,fd=4))             
LISTEN 0      4096             [::]:10213         [::]:*    users:(("docker-proxy",pid=877605,fd=4))             
LISTEN 0      4096             [::]:10214         [::]:*    users:(("docker-proxy",pid=877573,fd=4))             
LISTEN 0      4096             [::]:10215         [::]:*    users:(("docker-proxy",pid=877590,fd=4))             
LISTEN 0      4096             [::]:10208         [::]:*    users:(("docker-proxy",pid=879063,fd=4))             
LISTEN 0      4096             [::]:10210         [::]:*    users:(("docker-proxy",pid=877657,fd=4))             
LISTEN 0      4096             [::]:10211         [::]:*    users:(("docker-proxy",pid=877641,fd=4))             
LISTEN 0      4096             [::]:10204         [::]:*    users:(("docker-proxy",pid=877782,fd=4))             
LISTEN 0      4096             [::]:10205         [::]:*    users:(("docker-proxy",pid=878106,fd=4))             
LISTEN 0      4096             [::]:10206         [::]:*    users:(("docker-proxy",pid=877931,fd=4))             
LISTEN 0      4096             [::]:10200         [::]:*    users:(("docker-proxy",pid=1265768,fd=4))            
LISTEN 0      4096             [::]:10201         [::]:*    users:(("docker-proxy",pid=880447,fd=4))             
LISTEN 0      4096             [::]:10202         [::]:*    users:(("docker-proxy",pid=878409,fd=4))             
LISTEN 0      4096             [::]:10203         [::]:*    users:(("docker-proxy",pid=879026,fd=4))             
LISTEN 0      4096             [::]:8551          [::]:*    users:(("docker-proxy",pid=1276657,fd=4))            
LISTEN 0      4096             [::]:12376         [::]:*    users:(("docker-proxy",pid=1577618,fd=4))            
LISTEN 0      4096             [::]:12375         [::]:*    users:(("docker-proxy",pid=1577602,fd=4))            
LISTEN 0      4096             [::]:19090         [::]:*    users:(("docker-proxy",pid=1577649,fd=4))            
LISTEN 0      4096             [::]:18080         [::]:*    users:(("docker-proxy",pid=1577633,fd=4))            
LISTEN 0      4096             [::]:18081         [::]:*    users:(("docker-proxy",pid=892341,fd=4))             
LISTEN 0      4096             [::]:22            [::]:*    users:(("sshd",pid=255,fd=4),("systemd",pid=1,fd=70))
